Method           1. MAE    2. MARE    3. RMSE    4. cRMSE    5. RMSRE    6. U95       7. MBE      8. R    9. GMARE    10. MAE-k    11. MAE-S    12. MJSD-S    13. MWD-S
------------  ---------  ---------  ---------  ----------  ----------  --------  -----------  --------  ----------  -----------  -----------  ------------  -----------
1. NNLS       0.0517479   0.368462  0.0702951   0.0700325    0.491923  0.194484  -0.00607034  0.625032    0.803888       0.1805    0.0204291      0.551262   0.0139449
2. X2-I       0.0432803   0.316701  0.0553002   0.0420474    0.40523   0.136161  -0.0359183   0.784153    0.70835        0.4271    0.0111206      0.335416   0.00745297
3. X2-L1      0.0445168   0.322872  0.0568577   0.0421291    0.409783  0.138699  -0.038183    0.77653     0.708157       0.2196    0.0108241      0.328739   0.00698141
4. X2-L2      0.0444649   0.32146   0.0569042   0.0422281    0.407531  0.138888  -0.0381428   0.774286    0.703045       0.4301    0.0107276      0.326023   0.00676907
5. Lcurve-I   0.0497683   0.366197  0.0600866   0.0398055    0.446448  0.141268  -0.0450102   0.801573    0.776228       0.5709    0.0131465      0.374829   0.00922509
6. Lcurve-L1  0.0549936   0.407414  0.0647514   0.0432027    0.485385  0.152568  -0.0482315   0.782455    0.816198       0.2718    0.0144427      0.402197   0.0102152
7. Lcurve-L2  0.0549595   0.403277  0.0652508   0.0415763    0.480644  0.151647  -0.05029     0.783825    0.815102       0.9107    0.0143157      0.402252   0.00973518
8. GCV-I      0.0433162   0.318048  0.0574561   0.0525965    0.421612  0.152674  -0.0231259   0.724709    0.731755       0.2721    0.0113799      0.353612   0.00698181
9. GCV-L1     0.0464862   0.3584    0.0588604   0.0465615    0.466425  0.147098  -0.036008    0.783539    0.787974       0.4893    0.0117065      0.348454   0.0078436
10. GCV-L2    0.0525414   0.406671  0.0636494   0.0469892    0.507061  0.155066  -0.0429332   0.776632    0.866446       0.7972    0.0136068      0.386591   0.0093778
