Method                      mean Lambda          STD
------------------------  -------------  -----------
1. NNLS                     0            0
2. X2-I                     0.000462573  0.000729411
3. X2-L1                    0.00238808   0.00576503
4. X2-L2                    0.0117339    0.039724
5. Lcurve-I                 0.000866545  0.000762231
6. Lcurve-L1                0.0193198    0.0202572
7. Lcurve-L2                0.0666901    0.0742864
8. GCV-I                    9.71771e-05  0.000474276
9. GCV-L1                   0.020297     0.0584989
10. GCV-L2                  0.287106     0.629287
