Method           1. MAE    2. MARE    3. RMSE    4. cRMSE    5. RMSRE    6. U95      7. MBE      8. R    9. GMARE    10. MAE-k    11. MAE-S    12. MJSD-S    13. MWD-S
------------  ---------  ---------  ---------  ----------  ----------  --------  ----------  --------  ----------  -----------  -----------  ------------  -----------
1. NNLS       0.0679834   0.481975  0.088805    0.0863685    0.623125  0.242802  -0.0206596  0.48184     1.1062         0.2571    0.0219988      0.582338   0.0146273
2. X2-I       0.0548569   0.404444  0.0686559   0.0578457    0.51123   0.175961  -0.0369798  0.659177    0.94922        0.6995    0.0134777      0.388217   0.00925801
3. X2-L1      0.0557831   0.407988  0.0694512   0.0565803    0.510267  0.175579  -0.0402757  0.656973    0.938246       0.4271    0.0131706      0.381329   0.00869493
4. X2-L2      0.0556009   0.405723  0.0692368   0.0561731    0.506761  0.17475   -0.0404762  0.657173    0.93035        0.7371    0.0131485      0.380616   0.0085083
5. Lcurve-I   0.0543839   0.410486  0.0661569   0.0572262    0.515217  0.171448  -0.0331948  0.693206    0.911683       0.847     0.0153706      0.422882   0.0113505
6. Lcurve-L1  0.0568595   0.430047  0.0680126   0.0624488    0.534078  0.180975  -0.0269418  0.673252    0.934456       0.6194    0.0162132      0.437246   0.0122805
7. Lcurve-L2  0.0558122   0.416101  0.0672535   0.0553277    0.511334  0.170691  -0.0382345  0.688639    0.900378       0.9795    0.0155348      0.426803   0.0110544
8. GCV-I      0.0581128   0.429284  0.0744071   0.0666028    0.550301  0.195729  -0.0331736  0.600346    1.0295         0.5068    0.014065       0.409777   0.00879321
9. GCV-L1     0.0587813   0.452638  0.0717533   0.0634614    0.568234  0.18775   -0.0334841  0.670802    1.03213        0.7587    0.0147393      0.412826   0.0104734
10. GCV-L2    0.0598534   0.456166  0.0720697   0.062654     0.563371  0.187173  -0.0356163  0.666969    1.02342        0.9403    0.0156798      0.42896    0.0112581
