Method                      mean Lambda         STD
------------------------  -------------  ----------
1. NNLS                     0            0
2. X2-I                     0.00257832   0.00448045
3. X2-L1                    0.0224889    0.0656093
4. X2-L2                    0.179334     0.642022
5. Lcurve-I                 0.00543128   0.00587748
6. Lcurve-L1                0.127913     0.132735
7. Lcurve-L2                0.264592     0.267592
8. GCV-I                    0.000774211  0.00273344
9. GCV-L1                   0.107992     0.226097
10. GCV-L2                  0.865506     1.3048
