Method            1. MAE    2. MARE    3. RMSE    4. cRMSE    5. RMSRE     6. U95       7. MBE      8. R    9. GMARE    10. MAE-k    11. MAE-S    12. MJSD-S    13. MWD-S
------------  ----------  ---------  ---------  ----------  ----------  ---------  -----------  --------  ----------  -----------  -----------  ------------  -----------
1. NNLS       0.0338082   0.261449   0.0474334   0.040251     0.383675  0.121931    0.0250955   0.843581    0.437903       0.4858   0.0173826       0.485065   0.0124146
2. X2-I       0.0145698   0.111767   0.021601    0.0173959    0.170518  0.0543604  -0.0128057   0.958372    0.229493       0.0348   0.00545256      0.176087   0.00415988
3. X2-L1      0.0113826   0.0869646  0.017278    0.015741     0.13755   0.0458115  -0.00712381  0.96639     0.19168        0.0235   0.00450649      0.157173   0.00340894
4. X2-L2      0.0107287   0.081505   0.0159625   0.0153179    0.127051  0.0433616  -0.00449027  0.968554    0.183227       0.0174   0.00420486      0.151952   0.00310974
5. Lcurve-I   0.00939615  0.0699336  0.0146491   0.014383     0.113119  0.0402381   0.00277993  0.970288    0.162919       0.0328   0.00430337      0.179198   0.00318118
6. Lcurve-L1  0.0151954   0.107715   0.0273529   0.0247134    0.192997  0.0722529  -0.0117229   0.913595    0.222554       0.0461   0.00471207      0.168365   0.00345062
7. Lcurve-L2  0.0159543   0.113067   0.0284512   0.0258478    0.194369  0.075341   -0.0118896   0.907409    0.23182        0.0386   0.00457587      0.166382   0.0032358
8. GCV-I      0.0145849   0.111878   0.0216229   0.0174078    0.170664  0.0544084  -0.0128265   0.958316    0.229702       0.0349   0.00545484      0.176137   0.00416142
9. GCV-L1     0.0114618   0.0877607  0.0174534   0.0159037    0.13964   0.0462804  -0.00718979  0.965777    0.194188       0.0252   0.00452639      0.157727   0.00342476
10. GCV-L2    0.0113886   0.0896234  0.0173665   0.0165668    0.153241  0.0470422  -0.00520907  0.964225    0.198772       0.0295   0.00432529      0.15497    0.00320519
