Method                      mean Lambda          STD
------------------------  -------------  -----------
1. NNLS                     0            0
2. X2-I                     5.39219e-06  4.92811e-07
3. X2-L1                    5.42462e-06  7.69838e-07
4. X2-L2                    5.47228e-06  1.33011e-06
5. Lcurve-I                 0.170001     4.1196
6. Lcurve-L1                0.0700178    2.64482
7. Lcurve-L2                0.090047     2.99865
8. GCV-I                    5.37339e-06  1.2945e-08
9. GCV-L1                   0.000359373  0.0103938
10. GCV-L2                  0.00232911   0.0346045
